kemendagri_kode_provinsi,kemendagri_nama_provinsi,kemendagri_kode_kabupaten_kota,kemendagri_nama_kabupaten_kota,tahun,bulan,jenis_stunting,jumlah,satuan
11,Aceh,11.04,Kabupaten Aceh Tengah,2023,Maret,wasting,242,jiwa
11,Aceh,11.05,Kabupaten Aceh Barat,2023,Maret,wasting,153,jiwa
11,Aceh,11.06,Kabupaten Aceh Besar,2023,Maret,wasting,1904,jiwa
11,Aceh,11.07,Kabupaten Pidie,2023,Maret,wasting,1411,jiwa
11,Aceh,11.08,Kabupaten Aceh Utara,2023,Maret,wasting,1113,jiwa
11,Aceh,11.09,Kabupaten Simeulue,2023,Maret,wasting,508,jiwa
11,Aceh,11.1,Kabupaten Aceh Singkil,2023,Maret,wasting,486,jiwa
11,Aceh,11.11,Kabupaten Bireuen,2023,Maret,wasting,756,jiwa
11,Aceh,11.12,Kabupaten Aceh Barat Daya,2023,Maret,wasting,361,jiwa
11,Aceh,11.13,Kabupaten Gayo Lues,2023,Maret,wasting,152,jiwa
11,Aceh,11.14,Kabupaten Aceh Jaya,2023,Maret,wasting,290,jiwa
11,Aceh,11.15,Kabupaten Nagan Raya,2023,Maret,wasting,421,jiwa
11,Aceh,11.16,Kabupaten Aceh Tamiang,2023,Maret,wasting,561,jiwa
11,Aceh,11.17,Kabupaten Bener Meriah,2023,Maret,wasting,523,jiwa
11,Aceh,11.18,Kabupaten Pidie Jaya,2023,Maret,wasting,432,jiwa
11,Aceh,11.71,Kota Banda Aceh,2023,Maret,wasting,565,jiwa
11,Aceh,11.72,Kota Sabang,2023,Maret,wasting,153,jiwa
11,Aceh,11.73,Kota Lhokseumawe,2023,Maret,wasting,439,jiwa
11,Aceh,11.74,Kota Langsa,2023,Maret,wasting,64,jiwa
11,Aceh,11.75,Kota Subulussalam,2023,Maret,wasting,319,jiwa
11,Aceh,11.01,Kabupaten Aceh Selatan,2022,November,underweight,554,jiwa
11,Aceh,11.02,Kabupaten Aceh Tenggara,2022,November,underweight,705,jiwa
11,Aceh,11.03,Kabupaten Aceh Timur,2022,November,underweight,3526,jiwa
11,Aceh,11.04,Kabupaten Aceh Tengah,2022,November,underweight,620,jiwa
11,Aceh,11.05,Kabupaten Aceh Barat,2022,November,underweight,945,jiwa
11,Aceh,11.06,Kabupaten Aceh Besar,2022,November,underweight,4511,jiwa
11,Aceh,11.07,Kabupaten Pidie,2022,November,underweight,2748,jiwa
11,Aceh,11.08,Kabupaten Aceh Utara,2022,November,underweight,2138,jiwa
11,Aceh,11.09,Kabupaten Simeulue,2022,November,underweight,1065,jiwa
11,Aceh,11.1,Kabupaten Aceh Singkil,2022,November,underweight,798,jiwa
11,Aceh,11.11,Kabupaten Bireuen,2022,November,underweight,1493,jiwa
11,Aceh,11.12,Kabupaten Aceh Barat Daya,2022,November,underweight,1002,jiwa
11,Aceh,11.13,Kabupaten Gayo Lues,2022,November,underweight,251,jiwa
11,Aceh,11.14,Kabupaten Aceh Jaya,2022,November,underweight,717,jiwa
11,Aceh,11.15,Kabupaten Nagan Raya,2022,November,underweight,761,jiwa
11,Aceh,11.16,Kabupaten Aceh Tamiang,2022,November,underweight,1607,jiwa
11,Aceh,11.17,Kabupaten Bener Meriah,2022,November,underweight,911,jiwa
11,Aceh,11.18,Kabupaten Pidie Jaya,2022,November,underweight,1195,jiwa
11,Aceh,11.71,Kota Banda Aceh,2022,November,underweight,789,jiwa
11,Aceh,11.72,Kota Sabang,2022,November,underweight,501,jiwa
11,Aceh,11.73,Kota Lhokseumawe,2022,November,underweight,808,jiwa
11,Aceh,11.74,Kota Langsa,2022,November,underweight,173,jiwa
11,Aceh,11.75,Kota Subulussalam,2022,November,underweight,800,jiwa
11,Aceh,11.01,Kabupaten Aceh Selatan,2022,Desember,underweight,892,jiwa
11,Aceh,11.02,Kabupaten Aceh Tenggara,2022,Desember,underweight,674,jiwa
11,Aceh,11.03,Kabupaten Aceh Timur,2022,Desember,underweight,2648,jiwa
11,Aceh,11.04,Kabupaten Aceh Tengah,2022,Desember,underweight,707,jiwa
11,Aceh,11.05,Kabupaten Aceh Barat,2022,Desember,underweight,806,jiwa
11,Aceh,11.06,Kabupaten Aceh Besar,2022,Desember,underweight,5195,jiwa
11,Aceh,11.07,Kabupaten Pidie,2022,Desember,underweight,2562,jiwa
11,Aceh,11.08,Kabupaten Aceh Utara,2022,Desember,underweight,2879,jiwa
11,Aceh,11.09,Kabupaten Simeulue,2022,Desember,underweight,915,jiwa
11,Aceh,11.1,Kabupaten Aceh Singkil,2022,Desember,underweight,791,jiwa
11,Aceh,11.11,Kabupaten Bireuen,2022,Desember,underweight,1392,jiwa
11,Aceh,11.12,Kabupaten Aceh Barat Daya,2022,Desember,underweight,1035,jiwa
11,Aceh,11.13,Kabupaten Gayo Lues,2022,Desember,underweight,246,jiwa
11,Aceh,11.14,Kabupaten Aceh Jaya,2022,Desember,underweight,714,jiwa
11,Aceh,11.15,Kabupaten Nagan Raya,2022,Desember,underweight,704,jiwa
11,Aceh,11.16,Kabupaten Aceh Tamiang,2022,Desember,underweight,1536,jiwa
11,Aceh,11.17,Kabupaten Bener Meriah,2022,Desember,underweight,783,jiwa
11,Aceh,11.18,Kabupaten Pidie Jaya,2022,Desember,underweight,1406,jiwa
11,Aceh,11.71,Kota Banda Aceh,2022,Desember,underweight,962,jiwa
11,Aceh,11.72,Kota Sabang,2022,Desember,underweight,452,jiwa
11,Aceh,11.73,Kota Lhokseumawe,2022,Desember,underweight,833,jiwa
11,Aceh,11.74,Kota Langsa,2022,Desember,underweight,189,jiwa
11,Aceh,11.75,Kota Subulussalam,2022,Desember,underweight,685,jiwa
11,Aceh,11.01,Kabupaten Aceh Selatan,2023,Januari,underweight,727,jiwa
11,Aceh,11.02,Kabupaten Aceh Tenggara,2023,Januari,underweight,585,jiwa
11,Aceh,11.03,Kabupaten Aceh Timur,2023,Januari,underweight,2737,jiwa
11,Aceh,11.04,Kabupaten Aceh Tengah,2023,Januari,underweight,669,jiwa
11,Aceh,11.05,Kabupaten Aceh Barat,2023,Januari,underweight,709,jiwa
11,Aceh,11.06,Kabupaten Aceh Besar,2023,Januari,underweight,4958,jiwa
11,Aceh,11.07,Kabupaten Pidie,2023,Januari,underweight,2785,jiwa
11,Aceh,11.08,Kabupaten Aceh Utara,2023,Januari,underweight,2813,jiwa
11,Aceh,11.09,Kabupaten Simeulue,2023,Januari,underweight,972,jiwa
11,Aceh,11.1,Kabupaten Aceh Singkil,2023,Januari,underweight,853,jiwa
11,Aceh,11.11,Kabupaten Bireuen,2023,Januari,underweight,1496,jiwa
11,Aceh,11.12,Kabupaten Aceh Barat Daya,2023,Januari,underweight,1008,jiwa
11,Aceh,11.13,Kabupaten Gayo Lues,2023,Januari,underweight,270,jiwa
11,Aceh,11.14,Kabupaten Aceh Jaya,2023,Januari,underweight,796,jiwa
11,Aceh,11.15,Kabupaten Nagan Raya,2023,Januari,underweight,624,jiwa
11,Aceh,11.16,Kabupaten Aceh Tamiang,2023,Januari,underweight,1362,jiwa
11,Aceh,11.17,Kabupaten Bener Meriah,2023,Januari,underweight,792,jiwa
11,Aceh,11.18,Kabupaten Pidie Jaya,2023,Januari,underweight,1555,jiwa
11,Aceh,11.71,Kota Banda Aceh,2023,Januari,underweight,821,jiwa
11,Aceh,11.72,Kota Sabang,2023,Januari,underweight,426,jiwa
11,Aceh,11.73,Kota Lhokseumawe,2023,Januari,underweight,811,jiwa
11,Aceh,11.74,Kota Langsa,2023,Januari,underweight,175,jiwa
11,Aceh,11.75,Kota Subulussalam,2023,Januari,underweight,657,jiwa
11,Aceh,11.01,Kabupaten Aceh Selatan,2023,Februari,underweight,731,jiwa
11,Aceh,11.02,Kabupaten Aceh Tenggara,2023,Februari,underweight,622,jiwa
11,Aceh,11.03,Kabupaten Aceh Timur,2023,Februari,underweight,3143,jiwa
11,Aceh,11.04,Kabupaten Aceh Tengah,2023,Februari,underweight,643,jiwa
11,Aceh,11.05,Kabupaten Aceh Barat,2023,Februari,underweight,712,jiwa
11,Aceh,11.06,Kabupaten Aceh Besar,2023,Februari,underweight,5431,jiwa
11,Aceh,11.07,Kabupaten Pidie,2023,Februari,underweight,2674,jiwa
